2020/10/14 08:53:42 [emerg] 9752#14372: CreateDirectory() "C:\Repository\My-notes\Nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2020/10/14 09:25:37 [error] 2584#1316: *851 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /styles.js HTTP/1.1", upstream: "http://[::1]:4200/styles.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:38 [error] 2584#1316: *870 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /main.js HTTP/1.1", upstream: "http://[::1]:4200/main.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:52 [error] 2584#1316: *850 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /sockjs-node/637/uqp1nbah/xhr_streaming?t=1602656750772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/637/uqp1nbah/xhr_streaming?t=1602656750772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:26:06 [error] 2584#1316: *869 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /sockjs-node/470/rtfbhkyq/xhr_streaming?t=1602656764772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/470/rtfbhkyq/xhr_streaming?t=1602656764772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:26:20 [error] 2584#1316: *871 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /sockjs-node/257/qunon4ac/xhr_streaming?t=1602656778772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/257/qunon4ac/xhr_streaming?t=1602656778772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:26:41 [error] 2584#1316: *930 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/150/xhg4n41n/eventsource HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/150/xhg4n41n/eventsource", host: "localhost", referrer: "http://localhost/sockjs-node/iframe.html"
2020/10/14 09:26:56 [error] 2584#1316: *980 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/071/ryxb3pp2/jsonp?c=_jp.abrijq3 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/071/ryxb3pp2/jsonp?c=_jp.abrijq3", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:27:13 [error] 2584#1316: *1003 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656831809 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656831809", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:27:37 [error] 2584#1316: *1014 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656855772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656855772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:28:09 [error] 2584#1316: *1016 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656887772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656887772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:28:41 [error] 2584#1316: *1030 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656919772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656919772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:29:04 [error] 2584#1316: *1032 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:29:17 [error] 2584#1316: *1092 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:29:37 [error] 2584#1316: *1101 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656975772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656975772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:30:02 [error] 2584#1316: *1102 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
